;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/weather/ashley_ice_falling_rocks_end_01;That was brutal. I can’t believe how much ice came down.;To było brutalne. Nie mogę uwierzyć, ile tego lodu spadło.;Это было жёстко. Не могу поверить, что с неба падали глыбы льда.;C’était brutal. J’arrive pas à croire qu’autant de glace a pu tomber.;Das war brutal. Ich kann gar nicht glauben, wie viel Eis herabgefallen ist.;Eso ha sido brutal. No puedo creerme la cantidad de hielo que ha caído.;Isso foi brutal. Não consigo acreditar na quantidade de gelo que caiu.;太残暴了。真不敢相信掉下来了这么多冰。;今のは酷かったわね。あんなに大量の氷が降ってくるなんて。;진짜 끔찍했어. 그렇게 많은 얼음이 쏟아지다니 믿을 수 없어.
DIALOG/weather/ashley_ice_falling_rocks_end_02;The sky’s clearing. That was way worse than a blizzard.;Niebo się przejaśnia. To było znacznie gorsze niż zamieć.;Проясняется. Это было куда хуже, чем метель.;Le ciel se dégage. C’était bien pire qu’une tempête de neige.;Der Himmel klart auf. Das war viel schlimmer als ein Schneesturm.;El cielo se está despejando. Eso ha sido mucho peor que cualquier ventisca.;O céu está se abrindo. Isso foi muito pior que uma nevasca.;天空正在放晴。这可比暴风雪糟糕多了。;天気がよくなってきた。吹雪が可愛く思えるほどだったわ。;하늘이 개고 있어. 눈보라와 비교도 안 될 정도로 심했네.
DIALOG/weather/mech_blizzard_warning_01;Conditions indicate an incoming blizzard. Expect extreme cold and reduced visibility.;Warunki wskazują na nadchodzącą zamieć śnieżną. Należy spodziewać się ekstremalnego zimna i ograniczonej widoczności.;Надвигается метель. Ожидаются экстремальный холод и снижение видимости.;Les conditions indiquent l’arrivée d’une tempête de neige. Froid extrême et visibilité réduite attendus.;Die Bedingungen deuten auf einen bevorstehenden Schneesturm hin. Es ist mit extremer Kälte und eingeschränkter Sicht zu rechnen.;Se espera una ventisca con frío extremo y visibilidad reducida.;As condições indicam uma nevasca iminente. Espere frio extremo e visibilidade reduzida.;气象条件表明即将发生暴风雪。预计会出现极度严寒和能见度降低。;気象の状況から吹雪の接近を確認。気温の急激な低下と視界不良が予想される。;상황을 보니 눈보라가 몰아칠 예정입니다. 기온이 급격히 떨어지고 시야가 확보되지 않을 테니 주의하세요.
DIALOG/weather/mech_blizzard_warning_02;Warning. Temperature and pressure readings indicate an incoming blizzard.;Ostrzeżenie. Odczyty temperatury i ciśnienia wskazują na nadchodzącą zamieć śnieżną.;Внимание! Датчики температуры и давления указывают на приближение метели.;Avertissement. Les relevés de température et de pression indiquent l’arrivée d’une tempête de neige.;Warnung. Die Temperatur- und Druckwerte deuten auf einen bevorstehenden Schneesturm hin.;Alerta. Las lecturas de temperatura y presión indican que se acerca una ventisca.;Aviso. Leituras de temperatura e pressão indicam uma nevasca iminente.;警告。温度和气压读数表明暴风雪即将到来。;警告。気温と大気圧の数値から吹雪が予想される。;경고. 온도와 압력 측정값이 눈보라가 다가오고 있음을 나타냅니다.
DIALOG/weather/ashley_blizzard_warning_01;Temperature’s dropping fast. This might turn into a blizzard.;Temperatura gwałtownie spada. To może przerodzić się w zamieć.;Температура стремительно падает. Похоже, будет пурга.;La température baisse rapidement. Ça pourrait se transformer en tempête de neige.;Die Temperatur sinkt rapide. Es könnte zu einem Schneesturm kommen.;Las temperaturas están cayendo en picado. Puede que se acerque una ventisca.;A temperatura está caindo rápido. Isso pode se transformar em uma nevasca.;温度下降得很快。这可能会变成一场暴风雪。;気温が急激に落ちた。これは吹雪が来るかもね。;기온이 급격히 떨어지고 있어. 눈보라로 변할 수도 있겠어.
DIALOG/weather/ashley_blizzard_warning_02;I don’t like the look of those clouds. Feels like a blizzard’s on the way.;Nie podoba mi się wygląd tych chmur. Wygląda na to, że nadciąga zamieć.;Мне не нравятся эти тучи. Похоже, надвигается метель.;Je n’aime pas l’aspect de ces nuages. On dirait qu’une tempête de neige approche.;Diese Wolken sehen gar nicht gut aus. Es scheint, als würde ein Schneesturm aufziehen.;No me gusta el aspecto de esas nubes. Parece que se acerca una ventisca.;Não gosto da aparência dessas nuvens. Parece que uma nevasca está a caminho.;我不喜欢那些云的样子。感觉暴风雪要来了。;あの雲、嫌な予感がする。吹雪になるかもね。;구름 모양이 불길해. 눈보라가 올 것 같은 기분이야.
DIALOG/weather/mech_blizzard_start_01;Sustained high winds and extreme cold confirmed. Blizzard ongoing.;Potwierdzono silne wiatry i ekstremalne zimno. Trwa zamieć śnieżna.;Скорость ветра стабильно высокая, температура ниже критической отметки. Буря не ослабевает.;Vents violents soutenus et froid extrême confirmés. La tempête de neige se poursuit.;Anhaltend starke Winde und extreme Kälte bestätigt. Der Schneesturm dauert an.;Altas velocidades de viento y frío extremo confirmados. Ventisca en curso.;Ventos fortes e frio extremo confirmados. Nevasca em andamento.;确认持续强风和极度严寒。暴风雪正在进行中。;持続的な強風と気温の低下を確認。吹雪は依然止まず。;지속적인 강풍과 극심한 한파가 확인되었습니다. 눈보라가 계속되고 있습니다.
DIALOG/weather/mech_blizzard_start_02;Blizzard event underway. Atmospheric instability increasing.;Zjawisko zamieci śnieżnej w toku. Niestabilność atmosferyczna narasta.;Метель началась. Нестабильность атмосферы нарастает.;Tempête de neige en cours. Instabilité atmosphérique croissante.;Ein Schneesturm zieht heran. Zunehmende atmosphärische Instabilität.;Ventisca en curso. Inestabilidad atmosférica creciente.;Evento de nevasca em andamento. Instabilidade atmosférica aumentando.;暴风雪正在发生。大气不稳定性增加。;吹雪発生中。大気が不安定になっている。;눈보라 현상 발생 중입니다. 대기 불안정성 증가.
DIALOG/weather/ashley_blizzard_start_01;The storm’s here. I can barely see anything out there.;Burza dotarła. Prawie nic nie widać.;Буря началась. Я почти ничего не вижу.;La tempête est là. Je ne vois presque rien dehors.;Der Sturm ist da. Ich kann hier draußen kaum etwas sehen.;Ha llegado la tormenta. Apenas puedo ver nada ahí fuera.;A tempestade chegou. Mal consigo enxergar alguma coisa lá fora.;风暴来了。我几乎看不清外面的任何东西。;嵐が来たわ。外はほとんど何も見えない。;폭풍이야. 밖에선 거의 아무것도 안 보여.
DIALOG/weather/ashley_blizzard_start_02;Alright, this just turned into a serious snowstorm.;Dobra, to już poważna śnieżyca.;Так, это уже не шутки — начался серьёзный снегопад с бурей.;Bon, ça vient de se transformer en véritable tempête de neige.;Alles klar. Soeben hat sich das Ganze zu einem heftigen Schneesturm entwickelt.;Vale, parece que tenemos una tormenta de nieve bien seria.;Certo, isso se tornou uma tempestade de neve séria.;好吧，这刚变成了一场严重的暴风雪。;はあ、とんだ猛吹雪になったわね。;좋아, 이건 이제 본격적인 눈보라야.
DIALOG/weather/mech_blizzard_end_01;Extreme weather event concluded. Temperature and visibility are improving.;Ekstremalne zjawisko pogodowe zakończone. Temperatura i widoczność ulegają poprawie.;Буря отступила. Температура и видимость улучшаются.;Les conditions météorologiques extrêmes sont terminées. La température et la visibilité s’améliorent.;Das extreme Wetterereignis ist vorüber. Temperatur und Sichtverhältnisse verbessern sich.;El evento de clima extremo ha finalizado. La temperatura y la visibilidad están mejorando.;Evento climático extremo encerrado. Temperatura e visibilidade estão melhorando.;极端天气事件结束。温度和能见度正在改善。;異常気象の停止を確認。気温と視界が正常化している。;극한 기상 현상이 종료되었습니다. 기온과 시야가 개선되고 있습니다.
DIALOG/weather/mech_blizzard_end_02;Cold front dissipated. Weather conditions returning to normal.;Front chłodny uległ rozproszeniu. Warunki pogodowe wracają do normy.;Холодный фронт отступает. Погода нормализуется.;Le front froid s’est dissipé. Les conditions météorologiques reviennent à la normale.;Die Kaltfront hat sich aufgelöst. Die Wetterlage normalisiert sich wieder.;Frente frío disipado. Las condiciones meteorológicas están volviendo a la normalidad.;Frente fria dissipada. As condições climáticas estão voltando ao normal.;冷锋消散。天气条件正在恢复正常。;寒冷前線が消滅。気象状況は正常に戻りつつある。;한랭전선이 소멸되었습니다. 기상 상황이 정상으로 돌아가고 있습니다.
DIALOG/weather/ashley_blizzard_end_01;I can see again. That blizzard’s over.;Znowu widzę. Zamieć się skończyła.;Мир снова обрёл чёткость. Метель закончилась.;Je vois à nouveau. La tempête de neige est terminée.;Ich kann wieder sehen. Der Schneesturm ist vorbei.;Puedo ver de nuevo. La ventisca ha finalizado.;Consigo enxergar novamente. Aquela nevasca acabou.;我又看得见了。暴风雪结束了。;見えてきた。吹雪は止んだわね。;다시 앞이 보여. 눈보라가 지나갔어.
DIALOG/weather/ashley_blizzard_end_02;The snow’s letting up. Let’s get back to work.;Opady słabną. Wracajmy do pracy.;Снегопад стихает. Пора за дело.;La neige arrête de tomber. Remettons-nous au travail.;Der Schnee lässt nach. Lass uns wieder an die Arbeit gehen.;La ventisca se está calmando. Hora de volver al trabajo.;A neve está diminuindo. Vamos voltar ao trabalho.;雪变小了。我们回去工作吧。;吹雪が止んだわ。作業に戻りましょう。;눈이 그치고 있어. 다시 가보자고.
DIALOG/weather/mech_ice_tornado_warning_01;Warning. Atmospheric instability detected. Destructive snow devils likely.;Ostrzeżenie. Wykryto niestabilność atmosferyczną. Możliwe niszczycielskie wiry śnieżne.;Внимание! Атмосфера нестабильна. Вероятно появление смертоносных снежных вихрей!;Avertissement. Instabilité atmosphérique détectée. Risque de tourbillons de neige destructeurs.;Warnung. Atmosphärische Instabilität festgestellt. Verheerende Schneestürme sind zu erwarten.;Alerta. Inestabilidad atmosférica detectada. Probabilidad alta de tormenta de nieve.;Aviso! Instabilidade atmosférica detectada. É provável que ocorram tornados de neve destrutivos.;警告。检测到大气不稳定性。可能会出现具有破坏性的雪龙卷。;警告。大気の異常現象を検知。破壊的な雪の竜巻が発生する恐れあり。;경고. 대기 불안정 감지됩니다. 파괴적인 눈 회오리 발생 가능성이 있습니다.
DIALOG/weather/mech_ice_tornado_warning_02;Warning. Snow and wind conditions indicate imminent vortex formation.;Ostrzeżenie. Warunki śnieżne i wiatrowe wskazują na nieuchronne formowanie się wirów.;Внимание! Снег и ветер создают идеальные условия для вихря!;Avertissement. La neige et le vent indiquent la formation imminente d’un vortex.;Achtung. Die Schnee- und Windverhältnisse deuten auf eine bevorstehende Wirbelsturmbildung hin.;Alerta. Las condiciones de la nieve y el viento indican la formación de un vórtice inminente.;Aviso! Condições de neve e vento indicam formação iminente de vórtice.;警告。降雪和风力条件表明即将形成气旋。;警告。降雪と風の状態から、竜巻の発生が予想される。;경고. 눈과 바람 상태가 소용돌이 형성이 임박했음을 보이고 있습니다.
DIALOG/weather/ashley_ice_tornado_warning_01;I’m seeing snow whip into tight spirals. This could get dangerous.;Widzę, jak śnieg skręca się w ciasne spirale. To może być niebezpieczne.;Вижу, как снег сбивается в тугие вихри. Плохой знак.;Je vois la neige tourbillonner en spirales serrées. Ça pourrait devenir dangereux.;Der Schnee peitscht in dichten Wirbeln durch die Luft. Das könnte gefährlich werden.;Se están formando torbellinos de nieve. Esto podría ponerse peligroso.;Estou vendo a neve se enrolar em espirais estreitas. Isso pode ficar perigoso.;我看到雪被风卷成了紧密的螺旋状。这可能会变得很危险。;雪が渦を巻き始めた。危険な状態だわ。;눈보라가 조밀한 소용돌이를 이루며 휘몰아치고 있어. 위험해질 수도 있겠는데.
DIALOG/weather/ashley_ice_tornado_warning_02;The wind’s getting violent. That snow’s starting to spin hard.;Wiatr staje się gwałtowny. Śnieg zaczyna wirować.;Ветер усиливается. Снег закручивается в настоящие смерчи!;Le vent devient violent. La neige commence à tourbillonner très fort.;Der Wind wird kräftiger. Der Schnee wirbelt immer heftiger.;El viento se está intensificando. La nieve está empezando a formar torbellinos.;O vento está ficando violento. Aquela neve está começando a girar com força.;风变得猛烈了。雪开始剧烈旋转了。;風が強烈になってきた。雪が激しく渦を巻き始めた。;바람이 거세지고 눈이 세차게 휘날리기 시작했어.
DIALOG/weather/mech_ice_tornado_start_01;Danger. Snow devil event in progress. Structural damage likely.;Zagrożenie. Zjawisko wirów śnieżnych w toku. Możliwe uszkodzenia struktur.;Опасность! Формируются снежные вихри. Вероятно повреждение конструкций.;Danger. Tempête de neige en cours. Risque de dommages structurels.;Gefahr. Ein Schneesteufel herrscht. Strukturelle Schäden sind zu erwarten.;Peligro. Torbellinos de nieve en curso. Se prevé daño estructural.;Perigo! Evento de tornado de neve em andamento. Danos estruturais prováveis.;危险。雪暴卷风正在发生。可能造成结构性破坏。;危険。雪旋風が発生中。建造物への被害が予想される。;위험. 눈 폭풍 현상 발생 중. 구조물 피해 가능성이 있습니다.
DIALOG/weather/mech_ice_tornado_start_02;Danger. Severe rotational winds detected. Snow devils impacting the surface.;Zagrożenie. Wykryto silne wiatry rotacyjne. Wiry śnieżne uderzają w powierzchnię.;Опасность! Вращающиеся потоки воздуха! Снежные дьяволы уже наносят урон!;Danger. Vents rotatifs violents détectés. Tourbillons de neige touchant la surface.;Gefahr. Starke Wirbelwinde erkannt. Schneeteufel toben auf der Oberfläche.;Peligro. Se han detectado vientos rotativos. Torbellinos de nieve afectando a la superficie.;Perigo! Ventos rotacionais severos detectados. Tornados de neve atingindo a superfície.;危险。检测到强烈的旋转风。雪龙卷正在冲击地表。;危険。激しい旋回風を検知。雪旋風による地表への被害が予想される。;위험. 강력한 회전풍이 포착되었습니다. 눈 회오리가 지면을 강타하고 있습니다.
DIALOG/weather/ashley_ice_tornado_start_01;A large snow devil has just finished forming! We have to stay away from its path.;Właśnie uformował się duży wir śnieżny! Trzymajmy się z dala od jego trasy!;Только что сформировался огромный снежный вихрь! Нужно держаться от него в стороне.;Un grand tourbillon de neige vient de se former ! On doit se tenir à l’écart de sa trajectoire.;Soeben hat sich ein großer Schneeteufel gebildet! Wir dürfen nicht in seine Bahn geraten.;¡Acaba de formarse un torbellino de nieve! Tenemos que alejarnos de él.;Um grande tornado de neve acabou de se formar! Precisamos ficar fora do seu caminho.;一个巨大的雪龙卷刚刚成型！我们必须避开它的移动路线。;巨大な雪旋風が発生した！進路から離れないと。;거대한 눈 회오리가 막 형성됐어! 경로에서 최대한 멀리 떨어져야 해.
DIALOG/weather/ashley_ice_tornado_start_02;A snow devil is moving our way! These things hit way harder than they look!;Wir śnieżny zmierza w naszą stronę! Te rzeczy uderzają znacznie mocniej, niż wyglądają!;Снежный вихрь движется на нас! Ущерб от него намного больше, чем кажется.;Un tourbillon de neige se dirige droit sur nous ! Ces phénomènes sont bien plus violents qu’ils n’en ont l’air !;Ein Schneeteufel kommt auf uns zu! Diese Dinger sind viel heftiger, als sie aussehen!;¡Se acerca un torbellino de nieve! ¡Es mucho más peligroso de lo que parece!;Um tornado de neve está vindo em nossa direção! Essas coisas atingem muito mais forte do que parecem!;有一个雪龙卷正朝我们移动！这些东西的破坏力比看起来大得多！;雪旋風が接近中！あれは見た目よりも破壊的だ！;눈 회오리가 우리 쪽으로 오고 있어! 보기보다 훨씬 강력하니까 조심해야 해!
DIALOG/weather/mech_ice_tornado_end_01;Extreme surface winds subsiding. Environmental stability returning.;Ekstremalne wiatry przy powierzchni słabną. Stabilność środowiska wraca.;Ураганные ветра стихают. Окружающая среда стабилизируется.;Les vents extrêmes en surface s’atténuent. La stabilité environnementale revient.;Extreme Oberflächenwinde lassen nach. Die Umgebung stabilisiert sich wieder.;Vientos extremos desapareciendo. La estabilidad del entorno está volviendo.;Ventos extremos na superfície estão diminuindo. A estabilidade ambiental está retornando.;极端地表风正在减弱。环境正在恢复稳定。;地表風速が低下している。環境が安定化しつつある。;극심한 지표면 바람이 잦아들고 있습니다. 환경 안정성이 회복되고 있습니다.
DIALOG/weather/mech_ice_tornado_end_02;Snow devil event concluded. No further vortex activity detected.;Zjawisko wirów śnieżnych zakończone. Nie wykryto dalszej aktywności wirowej.;Снежный вихрь утих. Новых смерчей не обнаружено.;Le tourbillon de neige est terminé. Aucune autre activité de vortex n’a été détectée.;Schneeteufel-Treiben vorbei. Kein weiterer Wirbelsturm festgestellt.;El evento de torbellinos de nieve ha finalizado. No se detecta más actividad de vórtices.;Evento de tornado de neve encerrado. Nenhuma atividade de vórtice adicional detectada.;雪龙卷事件结束。未检测到进一步的气旋活动。;雪旋風の消散を確認。更なる旋風の形成は確認されない。;눈 회오리 현상 종료. 추가 소용돌이 활동 감지되지 않습니다.
DIALOG/weather/ashley_ice_tornado_end_01;The wind’s finally calming down. That was rough.;Wiatr w końcu się uspokaja. To było ciężkie.;Ветер наконец-то стихает. Приключение, однако.;Le vent finit enfin par se calmer. C’était dur.;Der Wind lässt endlich nach. Das war heftig.;El viento se está calmando. Ha sido terrorífico.;O vento finalmente está diminuindo. Isso foi dureza.;风终于平静下来了。刚才真够呛。;やっと収まってきたわね。危なかったわ。;바람이 드디어 잦아들고 있어. 진짜 힘들었어.
DIALOG/weather/ashley_ice_tornado_end_02;Looks like it’s over. I don’t want to see that again anytime soon.;Wygląda na to, że po wszystkim. Nie chcę tego znowu widzieć.;Вроде закончилось. Чтобы я ещё раз это пережила — нет уж, спасибо.;On dirait que c’est fini. Je veux pas revoir ça de sitôt.;Scheinbar war’s das. So schnell möchte ich das nicht noch einmal erleben müssen.;Parece que ha terminado. Espero no volver a ver algo así pronto.;Parece que acabou. Não quero ver isso de novo tão cedo.;看来结束了。我短期内可不想再看到那玩意儿了。;収まったみたいね。あんなのはしばらく出くわしたくないわね。;끝난 모양이야. 당분간 다시는 이런 건 보고 싶지 않아.
DIALOG/weather/mech_solar_burn_positive_warning_01;Warning. A Solar Burn event is approaching.;Ostrzeżenie. Zbliża się rozbłysk słoneczny.;Внимание! Солнечный ожог на подходе.;Avertissement. Un épisode de coup de soleil approche.;Achtung. Ein Solarfeuer nähert sich.;Alerta. Se acerca un evento de quemadura solar.;Aviso! Um evento de queimadura solar está se aproximando.;警告。烈日暴晒事件即将来临。;警告。強烈な日差しが予想される。;경고. 태양열 복사 발생. 고온 및 전자 방해에 주의하세요.
DIALOG/weather/mech_solar_burn_positive_warning_02;Warning. Solar radiation levels are rising.;Ostrzeżenie. Poziomy promieniowania słonecznego rosną.;Внимание! Уровни солнечной радиации повышаются.;Avertissement. Les niveaux de rayonnement solaire augmentent.;Achtung. Der Solarstrahlenwert steigt.;Alerta. Los niveles de radiación solar están aumentando.;Aviso. Os níveis de radiação solar estão aumentando.;警告。太阳辐射水平正在上升。;警告。太陽放射量の増加を確認。;경고. 태양 복사 수준이 상승하고 있습니다.
DIALOG/weather/ashley_solar_burn_positive_warning_01;The sun’s flaring up. Radiation levels are climbing.;Aktywność słoneczna wzrasta. Poziomy promieniowania rosną.;Солнечная активность возрастает! Уровень радиации растёт.;Le soleil s’embrase. Les niveaux de radiation augmentent.;Die Sonne glüht. Die Strahlenwerte steigen.;El sol pega más fuerte que de costumbre. Los niveles de radiación están aumentando.;O sol está aumentando sua atividade. Os níveis de radiação estão subindo.;太阳耀斑爆发了。辐射水平正在攀升。;太陽が燃え上がっているわね。放射線量がどんどん上がっている。;태양이 요동치고 있어. 복사 수치가 급격히 상승 중이야.
DIALOG/weather/ashley_solar_burn_positive_warning_02;I am getting some serious solar output readings. A Solar Burn is coming.;Odczyty wskazują na bardzo wysoką aktywność słoneczną. Nadchodzi rozbłysk słoneczny.;Показатели солнечной активности зашкаливают. Приближается солнечный ожог.;Je reçois des mesures importantes concernant l’activité solaire. Un coup de soleil se prépare.;Ich empfange einige ernst zu nehmende Solarwerte. Ein Solarfeuer steht bevor.;Estoy recibiendo lecturas preocupantes de la actividad solar. Se acerca una quemadura solar.;Estou recebendo leituras sérias de emissão solar. Uma queimadura solar está se aproximando.;我接收到了一些严重的太阳辐射读数。一场烈日暴晒要来了。;太陽出力の数値が上がっている。ソーラーバーンが来るわ。;태양 활동이 매우 활발해지고 있어. 태양열 복사가 다가오고 있어.
DIALOG/weather/mech_solar_burn_positive_start_01;A Solar Burn event is in progress. Photovoltaic generators are operating at peak efficiency.;Rozbłysk słoneczny w toku. Generatory fotowoltaiczne pracują z maksymalną wydajnością.;Солнечный ожог в процессе. Фотогальванические генераторы работают на пиковой эффективности.;Un épisode de coup de soleil est en cours. Les générateurs photovoltaïques fonctionnent à leur efficacité maximale.;Es herrscht ein Solarfeuer. Die Photovoltaik-Generatoren arbeiten mit maximaler Effizienz.;Evento de quemadura solar en curso. Los generadores fotovoltaicos están funcionando a máxima capacidad.;Evento de queimadura solar em andamento. Os geradores fotovoltaicos estão operando em eficiência máxima.;烈日暴晒事件正在进行中。光伏发电机正以最高效率运行。;ソーラーバーンが進行中。太陽光発電の効率が最高値に達している。;태양열 복사 진행 중. 태양광 발전기가 최고 효율로 가동 중입니다.
DIALOG/weather/mech_solar_burn_positive_start_02;Sun activity is at its peak right now. Solar energy generation at maximum levels.;Aktywność słoneczna osiągnęła szczyt. Produkcja energii słonecznej na maksymalnym poziomie.;Солнечная активность на пике. Генерация солнечной энергии на максимальном уровне.;L’activité solaire est à son maximum. La production d’énergie solaire atteint ses niveaux maximaux.;Die Sonnenaktivität ist derzeit auf ihrem Höchststand. Die Solarenergieerzeugung erreicht maximale Werte.;Pico de actividad solar detectado. Generación de energía solar a niveles máximos.;A atividade solar está no auge neste momento. A geração de energia solar está em níveis máximos.;太阳活动目前处于高峰期。太阳能发电量达到最大水平。;太陽活動が活発になっている。太陽光による発電量が最大レベルに達している。;현재 태양 활동이 최고조에 달했습니다. 태양 에너지 발전량이 최고 수준입니다.
DIALOG/encounters/mech_ice_cave_01;Ashley, my sensors have picked up an unusual gravitational anomaly nearby. I think it might be worth investigating.;Ashley, moje sensory wykryły w pobliżu nietypową anomalię grawitacyjną. Myślę, że warto to sprawdzić.;Эшли, мои датчики засекли неподалёку необычную гравитационную аномалию. Думаю, стоит её исследовать.;Ashley, mes capteurs ont détecté une anomalie gravitationnelle inhabituelle à proximité. Je pense qu’on devrait aller y jeter un œil.;Ashley, meine Sensoren haben in der Nähe eine ungewöhnliche Gravitationsanomalie registriert. Das sollten wir vielleicht genauer überprüfen.;Ashley, mis sensores han detectado una anomalía gravitatoria cerca de aquí. Creo que merece la pena investigarla.;Ashley, meus sensores detectaram uma anomalia gravitacional incomum nas proximidades. Acho que pode valer a pena investigá-la.;阿雪莉，我的传感器在附近捕捉到了异常的重力波动。我认为这值得调查一下。;アシュリー、センサーが付近で重力の以上減少を探知した。調査する価値はあるかもしれない。;애슐리, 제 센서가 근처에 특이한 중력 이상 현상을 포착했습니다. 조사해 볼 가치가 있을 것 같습니다.
DIALOG/encounters/ashley_ice_cave_01;Roger that, Mr. Riggs. Let's go check it out.;Przyjęłam, panie Riggs. Sprawdźmy to.;Поняла, мистер Ригз. Отправляемся туда.;Bien reçu, M. Riggs. Allons voir ça.;Alles klar, Mr. Riggs. Lass uns nachsehen.;Entendido, Sr. Riggs. Echemos un vistazo.;Entendido, Sr. Riggs. Vamos lá investigar.;收到，里格斯先生。我们去看看吧。;了解よ、ミスター・リグス。調べに向かいましょう。;알겠어, 릭스. 가서 확인해 보자.
DIALOG/encounters/ashley_ice_cave_02;Wow, look at this ironium deposit. It's absolutely gigantic.;Wow, spójrz na to złoże ironium. Jest absolutnie gigantyczne.;Ого, взгляни на эту залежь железия. Она просто гигантская!;Ouah, regarde ce gisement de ferronium. Il est absolument gigantesque.;Wow, schau dir dieses Ironiumvorkommen an. Das ist absolut gigantisch.;Vaya, mira este depósito de ironio. Es gigantesco.;Uau, veja esse depósito de Ferrônio. É absolutamente gigantesco.;哇，看看这个铁矿床。它绝对是个庞然大物。;すごい。こんなに巨大なアイロニウムの鉱床があったなんて。;와, 이 철 광상 좀 봐. 정말 엄청나네.
DIALOG/encounters/mech_ice_cave_02;I agree, Ashley. It is much bigger than any we have encountered so far. Unfortunately, we will not be able to extract this ore with our standard Ironium Factories.;Zgadzam się, Ashley. Jest znacznie większe niż wszystko, z czym mieliśmy do czynienia do tej pory. Niestety nie będziemy w stanie wydobyć tej rudy przy użyciu standardowych Fabryk Ironium.;Согласен, Эшли. Она намного больше всех, что мы встречали. К сожалению, существующие мощности для добычи железия непригодны для работы с данным объектом.;Je suis d’accord avec toi, Ashley. Il est bien plus grand que tous ceux qu’on a déjà trouvés. Malheureusement, on ne va pas pouvoir extraire ce minerai sans nos usines de ferronium standard.;Da stimme ich dir zu, Ashley. Es ist viel größer als alles, was wir bisher gesehen haben. Leider können wir dieses Erz nicht mittels unserer normalen Ironium-Fabriken gewinnen.;Estoy de acuerdo, Ashley. Es mucho más grande de los que nos hemos encontrado hasta ahora. Por desgracia, no podremos extraer el mineral con nuestras fábricas de ironio.;Concordo, Ashley. É muito maior do que qualquer outro que encontramos até agora. Infelizmente, não conseguiremos extrair esse minério com nossas Fábricas de Ferrônio padrão.;我同意，阿雪莉。它比我们迄今为止遇到的任何矿床都要大得多。不幸的是，我们无法用标准的铁矿厂来开采这种矿石。;同感だ、アシュリー。我々が今まで見てきたどの鉱床よりも遥かに大規模だ。だが残念ながら従来のアイロニウム工場ではこの鉱石の採掘は不可能だ。;동의합니다, 애슐리. 지금까지 마주한 어떤 것보다 훨씬 거대합니다. 안타깝게도, 저희의 표준 철 공장으로는 이 광석을 추출할 수는 없습니다.
DIALOG/encounters/ashley_ice_cave_03;That's ok, Mr. Riggs. We can build Drone Mines nearby. They are not as fast as standard automated factories, but they have a long operating range, and they can extract all types of mineable resources. They are slower, but much more versatile.;Nie szkodzi, panie Riggs. Możemy zbudować w pobliżu Kopalnie Dronowe. Nie są tak szybkie jak standardowe fabryki automatyczne, ale mają duży zasięg operacyjny i mogą wydobywać wszystkie rodzaje surowców możliwych do eksploatacji. Są wolniejsze, ale znacznie bardziej uniwersalne.;Не проблема, мистер Ригз! Рядом можно развернуть Шахтные дроны. Да, они работают медленнее конвейера, зато берут размахом и добывают что угодно. Медленнее, но гораздо универсальнее.;C’est rien, M. Riggs. On peut installer des mines de drones à proximité. Elles sont pas aussi rapides que les usines automatisées classiques, mais elles ont une longue portée d’action et peuvent extraire tous les types de ressources exploitables. Elles sont plus lentes, mais beaucoup plus polyvalentes.;Kein Problem, Mr. Riggs. Wir können in der Nähe Drohnenminen errichten. Diese sind zwar nicht so schnell wie normale automatisierte Fabriken, verfügen jedoch über eine große Reichweite und können alle Arten von abbaubaren Erzen gewinnen. Sie sind zwar langsamer, dafür aber wesentlich vielseitiger.;No pasa nada, Sr. Riggs. Podemos construir minas de drones por aquí. No son tan rápidos como las fábricas automáticas, pero tienen un gran alcance operativo y pueden extraer todo tipo de minerales. Son más lentos, pero más versátiles.;Tudo bem, Sr. Riggs. Podemos construir Minas de Drones nas proximidades. Elas não são tão rápidas quanto as fábricas automatizadas padrão, mas têm um alcance de operação maior e podem extrair todos os tipos de recursos mineráveis. São mais lentas, mas muito mais versáteis.;没关系，里格斯先生。我们可以在附近建造无人机采矿站。它们没有标准的自动矿厂那么快，但它们的操作范围很广，而且可以开采所有类型的可开采资源。虽然速度慢点，但功能要齐全得多。;大丈夫よ、ミスター・リグス。近くにドローンベースを建てられる。標準的な自動式工場ほど速くはないけど、可動範囲が広くてどんな鉱物も採掘できるわ。作業速度は落ちるけど、汎用性に優れるわ。;괜찮아, 릭스. 근처에 드론 광산을 지으면 돼. 일반 자동화 공장만큼 빠르지는 않지만, 작업 반경이 넓고 모든 종류의 채굴 가능한 자원을 캐낼 수 있을 거야. 속도는 느려도 훨씬 다재다능하지.
