;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/buildings_builder_mass_30_tool;Mass Build using Template 30;;Массовое строительство по шаблону 30;;;;;使用模板-30来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_31_tool;Mass Build using Template 31;;Массовое строительство по шаблону 31;;;;;使用模板-31来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_32_tool;Mass Build using Template 32;;Массовое строительство по шаблону 32;;;;;使用模板-32来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_33_tool;Mass Build using Template 33;;Массовое строительство по шаблону 33;;;;;使用模板-33来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_34_tool;Mass Build using Template 34;;Массовое строительство по шаблону 34;;;;;使用模板-34来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_35_tool;Mass Build using Template 35;;Массовое строительство по шаблону 35;;;;;使用模板-35来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_36_tool;Mass Build using Template 36;;Массовое строительство по шаблону 36;;;;;使用模板-36来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_37_tool;Mass Build using Template 37;;Массовое строительство по шаблону 37;;;;;使用模板-37来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_38_tool;Mass Build using Template 38;;Массовое строительство по шаблону 38;;;;;使用模板-38来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_39_tool;Mass Build using Template 39;;Массовое строительство по шаблону 39;;;;;使用模板-39来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_40_tool;Mass Build using Template 40;;Массовое строительство по шаблону 40;;;;;使用模板-40来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_41_tool;Mass Build using Template 41;;Массовое строительство по шаблону 41;;;;;使用模板-41来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_42_tool;Mass Build using Template 42;;Массовое строительство по шаблону 42;;;;;使用模板-42来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_43_tool;Mass Build using Template 43;;Массовое строительство по шаблону 43;;;;;使用模板-43来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_44_tool;Mass Build using Template 44;;Массовое строительство по шаблону 44;;;;;使用模板-44来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_45_tool;Mass Build using Template 45;;Массовое строительство по шаблону 45;;;;;使用模板-45来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_46_tool;Mass Build using Template 46;;Массовое строительство по шаблону 46;;;;;使用模板-46来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_47_tool;Mass Build using Template 47;;Массовое строительство по шаблону 47;;;;;使用模板-47来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_48_tool;Mass Build using Template 48;;Массовое строительство по шаблону 48;;;;;使用模板-48来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_49_tool;Mass Build using Template 49;;Массовое строительство по шаблону 49;;;;;使用模板-49来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_50_tool;Mass Build using Template 50;;Массовое строительство по шаблону 50;;;;;使用模板-50来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_51_tool;Mass Build using Template 51;;Массовое строительство по шаблону 51;;;;;使用模板-51来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_52_tool;Mass Build using Template 52;;Массовое строительство по шаблону 52;;;;;使用模板-52来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_53_tool;Mass Build using Template 53;;Массовое строительство по шаблону 53;;;;;使用模板-53来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_54_tool;Mass Build using Template 54;;Массовое строительство по шаблону 54;;;;;使用模板-54来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_55_tool;Mass Build using Template 55;;Массовое строительство по шаблону 55;;;;;使用模板-55来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_56_tool;Mass Build using Template 56;;Массовое строительство по шаблону 56;;;;;使用模板-56来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_57_tool;Mass Build using Template 57;;Массовое строительство по шаблону 57;;;;;使用模板-57来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_58_tool;Mass Build using Template 58;;Массовое строительство по шаблону 58;;;;;使用模板-58来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_59_tool;Mass Build using Template 59;;Массовое строительство по шаблону 59;;;;;使用模板-59来批量构造建筑物;;
gui/hud/building_name/buildings_builder_mass_60_tool;Mass Build using Template 60;;Массовое строительство по шаблону 60;;;;;使用模板-60来批量构造建筑物;;
;;;;;;;;;;
gui/hud/building_description/buildings_builder_mass_25_tool;This tool allows you to mass build many buildings using Template 25.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 25.;;;;;这个工具允许玩家使用模板-25来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_26_tool;This tool allows you to mass build many buildings using Template 26.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 26.;;;;;这个工具允许玩家使用模板-26来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_27_tool;This tool allows you to mass build many buildings using Template 27.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 27.;;;;;这个工具允许玩家使用模板-27来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_28_tool;This tool allows you to mass build many buildings using Template 28.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 28.;;;;;这个工具允许玩家使用模板-28来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_29_tool;This tool allows you to mass build many buildings using Template 29.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 29.;;;;;这个工具允许玩家使用模板-29来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_30_tool;This tool allows you to mass build many buildings using Template 30.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 30.;;;;;这个工具允许玩家使用模板-30来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_31_tool;This tool allows you to mass build many buildings using Template 31.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 31.;;;;;这个工具允许玩家使用模板-31来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_32_tool;This tool allows you to mass build many buildings using Template 32.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 32.;;;;;这个工具允许玩家使用模板-32来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_33_tool;This tool allows you to mass build many buildings using Template 33.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 33.;;;;;这个工具允许玩家使用模板-33来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_34_tool;This tool allows you to mass build many buildings using Template 34.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 34.;;;;;这个工具允许玩家使用模板-34来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_35_tool;This tool allows you to mass build many buildings using Template 35.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 35.;;;;;这个工具允许玩家使用模板-35来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_36_tool;This tool allows you to mass build many buildings using Template 36.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 36.;;;;;这个工具允许玩家使用模板-36来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_37_tool;This tool allows you to mass build many buildings using Template 37.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 37.;;;;;这个工具允许玩家使用模板-37来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_38_tool;This tool allows you to mass build many buildings using Template 38.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 38.;;;;;这个工具允许玩家使用模板-38来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_39_tool;This tool allows you to mass build many buildings using Template 39.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 39.;;;;;这个工具允许玩家使用模板-39来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_40_tool;This tool allows you to mass build many buildings using Template 40.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 40.;;;;;这个工具允许玩家使用模板-40来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_41_tool;This tool allows you to mass build many buildings using Template 41.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 41.;;;;;这个工具允许玩家使用模板-41来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_42_tool;This tool allows you to mass build many buildings using Template 42.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 42.;;;;;这个工具允许玩家使用模板-42来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_43_tool;This tool allows you to mass build many buildings using Template 43.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 43.;;;;;这个工具允许玩家使用模板-43来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_44_tool;This tool allows you to mass build many buildings using Template 44.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 44.;;;;;这个工具允许玩家使用模板-44来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_45_tool;This tool allows you to mass build many buildings using Template 45.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 45.;;;;;这个工具允许玩家使用模板-45来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_46_tool;This tool allows you to mass build many buildings using Template 46.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 46.;;;;;这个工具允许玩家使用模板-46来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_47_tool;This tool allows you to mass build many buildings using Template 47.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 47.;;;;;这个工具允许玩家使用模板-47来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_48_tool;This tool allows you to mass build many buildings using Template 48.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 48.;;;;;这个工具允许玩家使用模板-48来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_49_tool;This tool allows you to mass build many buildings using Template 49.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 49.;;;;;这个工具允许玩家使用模板-49来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_50_tool;This tool allows you to mass build many buildings using Template 50.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 50.;;;;;这个工具允许玩家使用模板-50来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_51_tool;This tool allows you to mass build many buildings using Template 51.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 51.;;;;;这个工具允许玩家使用模板-51来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_52_tool;This tool allows you to mass build many buildings using Template 52.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 52.;;;;;这个工具允许玩家使用模板-52来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_53_tool;This tool allows you to mass build many buildings using Template 53.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 53.;;;;;这个工具允许玩家使用模板-53来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_54_tool;This tool allows you to mass build many buildings using Template 54.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 54.;;;;;这个工具允许玩家使用模板-54来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_55_tool;This tool allows you to mass build many buildings using Template 55.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 55.;;;;;这个工具允许玩家使用模板-55来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_56_tool;This tool allows you to mass build many buildings using Template 56.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 56.;;;;;这个工具允许玩家使用模板-56来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_57_tool;This tool allows you to mass build many buildings using Template 57.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 57.;;;;;这个工具允许玩家使用模板-57来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_58_tool;This tool allows you to mass build many buildings using Template 58.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 58.;;;;;这个工具允许玩家使用模板-58来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_59_tool;This tool allows you to mass build many buildings using Template 59.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 59.;;;;;这个工具允许玩家使用模板-59来批量构造建筑物.;;
gui/hud/building_description/buildings_builder_mass_60_tool;This tool allows you to mass build many buildings using Template 60.;;Этот инструмент позволяет массово строить множество зданий, используя шаблон 60.;;;;;这个工具允许玩家使用模板-60来批量构造建筑物.;;
;;;;;;;;;;
gui/hud/building_templates/upgrade_template_25;Upgrade Template 25;;Улучшить шаблон 25;;;;;升级模板-25;;
gui/hud/building_templates/upgrade_template_26;Upgrade Template 26;;Улучшить шаблон 26;;;;;升级模板-26;;
gui/hud/building_templates/upgrade_template_27;Upgrade Template 27;;Улучшить шаблон 27;;;;;升级模板-27;;
gui/hud/building_templates/upgrade_template_28;Upgrade Template 28;;Улучшить шаблон 28;;;;;升级模板-28;;
gui/hud/building_templates/upgrade_template_29;Upgrade Template 29;;Улучшить шаблон 29;;;;;升级模板-29;;
gui/hud/building_templates/upgrade_template_30;Upgrade Template 30;;Улучшить шаблон 30;;;;;升级模板-30;;
gui/hud/building_templates/upgrade_template_31;Upgrade Template 31;;Улучшить шаблон 31;;;;;升级模板-31;;
gui/hud/building_templates/upgrade_template_32;Upgrade Template 32;;Улучшить шаблон 32;;;;;升级模板-32;;
gui/hud/building_templates/upgrade_template_33;Upgrade Template 33;;Улучшить шаблон 33;;;;;升级模板-33;;
gui/hud/building_templates/upgrade_template_34;Upgrade Template 34;;Улучшить шаблон 34;;;;;升级模板-34;;
gui/hud/building_templates/upgrade_template_35;Upgrade Template 35;;Улучшить шаблон 35;;;;;升级模板-35;;
gui/hud/building_templates/upgrade_template_36;Upgrade Template 36;;Улучшить шаблон 36;;;;;升级模板-36;;
gui/hud/building_templates/upgrade_template_37;Upgrade Template 37;;Улучшить шаблон 37;;;;;升级模板-37;;
gui/hud/building_templates/upgrade_template_38;Upgrade Template 38;;Улучшить шаблон 38;;;;;升级模板-38;;
gui/hud/building_templates/upgrade_template_39;Upgrade Template 39;;Улучшить шаблон 39;;;;;升级模板-39;;
gui/hud/building_templates/upgrade_template_40;Upgrade Template 40;;Улучшить шаблон 40;;;;;升级模板-40;;
gui/hud/building_templates/upgrade_template_41;Upgrade Template 41;;Улучшить шаблон 41;;;;;升级模板-41;;
gui/hud/building_templates/upgrade_template_42;Upgrade Template 42;;Улучшить шаблон 42;;;;;升级模板-42;;
gui/hud/building_templates/upgrade_template_43;Upgrade Template 43;;Улучшить шаблон 43;;;;;升级模板-43;;
gui/hud/building_templates/upgrade_template_44;Upgrade Template 44;;Улучшить шаблон 44;;;;;升级模板-44;;
gui/hud/building_templates/upgrade_template_45;Upgrade Template 45;;Улучшить шаблон 45;;;;;升级模板-45;;
gui/hud/building_templates/upgrade_template_46;Upgrade Template 46;;Улучшить шаблон 46;;;;;升级模板-46;;
gui/hud/building_templates/upgrade_template_47;Upgrade Template 47;;Улучшить шаблон 47;;;;;升级模板-47;;
gui/hud/building_templates/upgrade_template_48;Upgrade Template 48;;Улучшить шаблон 48;;;;;升级模板-48;;
gui/hud/building_templates/upgrade_template_49;Upgrade Template 49;;Улучшить шаблон 49;;;;;升级模板-49;;
gui/hud/building_templates/upgrade_template_50;Upgrade Template 50;;Улучшить шаблон 50;;;;;升级模板-50;;
gui/hud/building_templates/upgrade_template_51;Upgrade Template 51;;Улучшить шаблон 51;;;;;升级模板-51;;
gui/hud/building_templates/upgrade_template_52;Upgrade Template 52;;Улучшить шаблон 52;;;;;升级模板-52;;
gui/hud/building_templates/upgrade_template_53;Upgrade Template 53;;Улучшить шаблон 53;;;;;升级模板-53;;
gui/hud/building_templates/upgrade_template_54;Upgrade Template 54;;Улучшить шаблон 54;;;;;升级模板-54;;
gui/hud/building_templates/upgrade_template_55;Upgrade Template 55;;Улучшить шаблон 55;;;;;升级模板-55;;
gui/hud/building_templates/upgrade_template_56;Upgrade Template 56;;Улучшить шаблон 56;;;;;升级模板-56;;
gui/hud/building_templates/upgrade_template_57;Upgrade Template 57;;Улучшить шаблон 57;;;;;升级模板-57;;
gui/hud/building_templates/upgrade_template_58;Upgrade Template 58;;Улучшить шаблон 58;;;;;升级模板-58;;
gui/hud/building_templates/upgrade_template_59;Upgrade Template 59;;Улучшить шаблон 59;;;;;升级模板-59;;
gui/hud/building_templates/upgrade_template_60;Upgrade Template 60;;Улучшить шаблон 60;;;;;升级模板-60;;
;;;;;;;;;;
gui/hud/building_templates/erase_template_25;Erase Template 25;;Очистить шаблон 25;;;;;;;
gui/hud/building_templates/erase_template_26;Erase Template 26;;Очистить шаблон 26;;;;;;;
gui/hud/building_templates/erase_template_27;Erase Template 27;;Очистить шаблон 27;;;;;;;
gui/hud/building_templates/erase_template_28;Erase Template 28;;Очистить шаблон 28;;;;;;;
gui/hud/building_templates/erase_template_29;Erase Template 29;;Очистить шаблон 29;;;;;;;
gui/hud/building_templates/erase_template_30;Erase Template 30;;Очистить шаблон 30;;;;;;;
gui/hud/building_templates/erase_template_31;Erase Template 31;;Очистить шаблон 31;;;;;;;
gui/hud/building_templates/erase_template_32;Erase Template 32;;Очистить шаблон 32;;;;;;;
gui/hud/building_templates/erase_template_33;Erase Template 33;;Очистить шаблон 33;;;;;;;
gui/hud/building_templates/erase_template_34;Erase Template 34;;Очистить шаблон 34;;;;;;;
gui/hud/building_templates/erase_template_35;Erase Template 35;;Очистить шаблон 35;;;;;;;
gui/hud/building_templates/erase_template_36;Erase Template 36;;Очистить шаблон 36;;;;;;;
gui/hud/building_templates/erase_template_37;Erase Template 37;;Очистить шаблон 37;;;;;;;
gui/hud/building_templates/erase_template_38;Erase Template 38;;Очистить шаблон 38;;;;;;;
gui/hud/building_templates/erase_template_39;Erase Template 39;;Очистить шаблон 39;;;;;;;
gui/hud/building_templates/erase_template_40;Erase Template 40;;Очистить шаблон 40;;;;;;;
gui/hud/building_templates/erase_template_41;Erase Template 41;;Очистить шаблон 41;;;;;;;
gui/hud/building_templates/erase_template_42;Erase Template 42;;Очистить шаблон 42;;;;;;;
gui/hud/building_templates/erase_template_43;Erase Template 43;;Очистить шаблон 43;;;;;;;
gui/hud/building_templates/erase_template_44;Erase Template 44;;Очистить шаблон 44;;;;;;;
gui/hud/building_templates/erase_template_45;Erase Template 45;;Очистить шаблон 45;;;;;;;
gui/hud/building_templates/erase_template_46;Erase Template 46;;Очистить шаблон 46;;;;;;;
gui/hud/building_templates/erase_template_47;Erase Template 47;;Очистить шаблон 47;;;;;;;
gui/hud/building_templates/erase_template_48;Erase Template 48;;Очистить шаблон 48;;;;;;;
gui/hud/building_templates/erase_template_49;Erase Template 49;;Очистить шаблон 49;;;;;;;
gui/hud/building_templates/erase_template_50;Erase Template 50;;Очистить шаблон 50;;;;;;;
gui/hud/building_templates/erase_template_51;Erase Template 51;;Очистить шаблон 51;;;;;;;
gui/hud/building_templates/erase_template_52;Erase Template 52;;Очистить шаблон 52;;;;;;;
gui/hud/building_templates/erase_template_53;Erase Template 53;;Очистить шаблон 53;;;;;;;
gui/hud/building_templates/erase_template_54;Erase Template 54;;Очистить шаблон 54;;;;;;;
gui/hud/building_templates/erase_template_55;Erase Template 55;;Очистить шаблон 55;;;;;;;
gui/hud/building_templates/erase_template_56;Erase Template 56;;Очистить шаблон 56;;;;;;;
gui/hud/building_templates/erase_template_57;Erase Template 57;;Очистить шаблон 57;;;;;;;
gui/hud/building_templates/erase_template_58;Erase Template 58;;Очистить шаблон 58;;;;;;;
gui/hud/building_templates/erase_template_59;Erase Template 59;;Очистить шаблон 59;;;;;;;
gui/hud/building_templates/erase_template_60;Erase Template 60;;Очистить шаблон 60;;;;;;;
;;;;;;;;;;
gui/hud/building_templates/persistent_template_25;Persistent Template 25;;Постоянный шаблон 25;;;;;;;
gui/hud/building_templates/persistent_template_26;Persistent Template 26;;Постоянный шаблон 26;;;;;;;
gui/hud/building_templates/persistent_template_27;Persistent Template 27;;Постоянный шаблон 27;;;;;;;
gui/hud/building_templates/persistent_template_28;Persistent Template 28;;Постоянный шаблон 28;;;;;;;
gui/hud/building_templates/persistent_template_29;Persistent Template 29;;Постоянный шаблон 29;;;;;;;
gui/hud/building_templates/persistent_template_30;Persistent Template 30;;Постоянный шаблон 30;;;;;;;
gui/hud/building_templates/persistent_template_31;Persistent Template 31;;Постоянный шаблон 31;;;;;;;
gui/hud/building_templates/persistent_template_32;Persistent Template 32;;Постоянный шаблон 32;;;;;;;
gui/hud/building_templates/persistent_template_33;Persistent Template 33;;Постоянный шаблон 33;;;;;;;
gui/hud/building_templates/persistent_template_34;Persistent Template 34;;Постоянный шаблон 34;;;;;;;
gui/hud/building_templates/persistent_template_35;Persistent Template 35;;Постоянный шаблон 35;;;;;;;
gui/hud/building_templates/persistent_template_36;Persistent Template 36;;Постоянный шаблон 36;;;;;;;
gui/hud/building_templates/persistent_template_37;Persistent Template 37;;Постоянный шаблон 37;;;;;;;
gui/hud/building_templates/persistent_template_38;Persistent Template 38;;Постоянный шаблон 38;;;;;;;
gui/hud/building_templates/persistent_template_39;Persistent Template 39;;Постоянный шаблон 39;;;;;;;
gui/hud/building_templates/persistent_template_40;Persistent Template 40;;Постоянный шаблон 40;;;;;;;
gui/hud/building_templates/persistent_template_41;Persistent Template 41;;Постоянный шаблон 41;;;;;;;
gui/hud/building_templates/persistent_template_42;Persistent Template 42;;Постоянный шаблон 42;;;;;;;
gui/hud/building_templates/persistent_template_43;Persistent Template 43;;Постоянный шаблон 43;;;;;;;
gui/hud/building_templates/persistent_template_44;Persistent Template 44;;Постоянный шаблон 44;;;;;;;
gui/hud/building_templates/persistent_template_45;Persistent Template 45;;Постоянный шаблон 45;;;;;;;
gui/hud/building_templates/persistent_template_46;Persistent Template 46;;Постоянный шаблон 46;;;;;;;
gui/hud/building_templates/persistent_template_47;Persistent Template 47;;Постоянный шаблон 47;;;;;;;
gui/hud/building_templates/persistent_template_48;Persistent Template 48;;Постоянный шаблон 48;;;;;;;
gui/hud/building_templates/persistent_template_49;Persistent Template 49;;Постоянный шаблон 49;;;;;;;
gui/hud/building_templates/persistent_template_50;Persistent Template 50;;Постоянный шаблон 50;;;;;;;
gui/hud/building_templates/persistent_template_51;Persistent Template 51;;Постоянный шаблон 51;;;;;;;
gui/hud/building_templates/persistent_template_52;Persistent Template 52;;Постоянный шаблон 52;;;;;;;
gui/hud/building_templates/persistent_template_53;Persistent Template 53;;Постоянный шаблон 53;;;;;;;
gui/hud/building_templates/persistent_template_54;Persistent Template 54;;Постоянный шаблон 54;;;;;;;
gui/hud/building_templates/persistent_template_55;Persistent Template 55;;Постоянный шаблон 55;;;;;;;
gui/hud/building_templates/persistent_template_56;Persistent Template 56;;Постоянный шаблон 56;;;;;;;
gui/hud/building_templates/persistent_template_57;Persistent Template 57;;Постоянный шаблон 57;;;;;;;
gui/hud/building_templates/persistent_template_58;Persistent Template 58;;Постоянный шаблон 58;;;;;;;
gui/hud/building_templates/persistent_template_59;Persistent Template 59;;Постоянный шаблон 59;;;;;;;
gui/hud/building_templates/persistent_template_60;Persistent Template 60;;Постоянный шаблон 60;;;;;;;
;;;;;;;;;;
gui/hud/building_templates/export_template_25;Export Template 25;;Экспортировать шаблон 25;;;;;;;
gui/hud/building_templates/export_template_26;Export Template 26;;Экспортировать шаблон 26;;;;;;;
gui/hud/building_templates/export_template_27;Export Template 27;;Экспортировать шаблон 27;;;;;;;
gui/hud/building_templates/export_template_28;Export Template 28;;Экспортировать шаблон 28;;;;;;;
gui/hud/building_templates/export_template_29;Export Template 29;;Экспортировать шаблон 29;;;;;;;
gui/hud/building_templates/export_template_30;Export Template 30;;Экспортировать шаблон 30;;;;;;;
gui/hud/building_templates/export_template_31;Export Template 31;;Экспортировать шаблон 31;;;;;;;
gui/hud/building_templates/export_template_32;Export Template 32;;Экспортировать шаблон 32;;;;;;;
gui/hud/building_templates/export_template_33;Export Template 33;;Экспортировать шаблон 33;;;;;;;
gui/hud/building_templates/export_template_34;Export Template 34;;Экспортировать шаблон 34;;;;;;;
gui/hud/building_templates/export_template_35;Export Template 35;;Экспортировать шаблон 35;;;;;;;
gui/hud/building_templates/export_template_36;Export Template 36;;Экспортировать шаблон 36;;;;;;;
gui/hud/building_templates/export_template_37;Export Template 37;;Экспортировать шаблон 37;;;;;;;
gui/hud/building_templates/export_template_38;Export Template 38;;Экспортировать шаблон 38;;;;;;;
gui/hud/building_templates/export_template_39;Export Template 39;;Экспортировать шаблон 39;;;;;;;
gui/hud/building_templates/export_template_40;Export Template 40;;Экспортировать шаблон 40;;;;;;;
gui/hud/building_templates/export_template_41;Export Template 41;;Экспортировать шаблон 41;;;;;;;
gui/hud/building_templates/export_template_42;Export Template 42;;Экспортировать шаблон 42;;;;;;;
gui/hud/building_templates/export_template_43;Export Template 43;;Экспортировать шаблон 43;;;;;;;
gui/hud/building_templates/export_template_44;Export Template 44;;Экспортировать шаблон 44;;;;;;;
gui/hud/building_templates/export_template_45;Export Template 45;;Экспортировать шаблон 45;;;;;;;
gui/hud/building_templates/export_template_46;Export Template 46;;Экспортировать шаблон 46;;;;;;;
gui/hud/building_templates/export_template_47;Export Template 47;;Экспортировать шаблон 47;;;;;;;
gui/hud/building_templates/export_template_48;Export Template 48;;Экспортировать шаблон 48;;;;;;;
gui/hud/building_templates/export_template_49;Export Template 49;;Экспортировать шаблон 49;;;;;;;
gui/hud/building_templates/export_template_50;Export Template 50;;Экспортировать шаблон 50;;;;;;;
gui/hud/building_templates/export_template_51;Export Template 51;;Экспортировать шаблон 51;;;;;;;
gui/hud/building_templates/export_template_52;Export Template 52;;Экспортировать шаблон 52;;;;;;;
gui/hud/building_templates/export_template_53;Export Template 53;;Экспортировать шаблон 53;;;;;;;
gui/hud/building_templates/export_template_54;Export Template 54;;Экспортировать шаблон 54;;;;;;;
gui/hud/building_templates/export_template_55;Export Template 55;;Экспортировать шаблон 55;;;;;;;
gui/hud/building_templates/export_template_56;Export Template 56;;Экспортировать шаблон 56;;;;;;;
gui/hud/building_templates/export_template_57;Export Template 57;;Экспортировать шаблон 57;;;;;;;
gui/hud/building_templates/export_template_58;Export Template 58;;Экспортировать шаблон 58;;;;;;;
gui/hud/building_templates/export_template_59;Export Template 59;;Экспортировать шаблон 59;;;;;;;
gui/hud/building_templates/export_template_60;Export Template 60;;Экспортировать шаблон 60;;;;;;;
;;;;;;;;;;
gui/hud/building_templates/import_persistent_template_25;Import Persistent Template 25;;Импортировать Постоянный шаблон 25;;;;;;;
gui/hud/building_templates/import_persistent_template_26;Import Persistent Template 26;;Импортировать Постоянный шаблон 26;;;;;;;
gui/hud/building_templates/import_persistent_template_27;Import Persistent Template 27;;Импортировать Постоянный шаблон 27;;;;;;;
gui/hud/building_templates/import_persistent_template_28;Import Persistent Template 28;;Импортировать Постоянный шаблон 28;;;;;;;
gui/hud/building_templates/import_persistent_template_29;Import Persistent Template 29;;Импортировать Постоянный шаблон 29;;;;;;;
gui/hud/building_templates/import_persistent_template_30;Import Persistent Template 30;;Импортировать Постоянный шаблон 30;;;;;;;
gui/hud/building_templates/import_persistent_template_31;Import Persistent Template 31;;Импортировать Постоянный шаблон 31;;;;;;;
gui/hud/building_templates/import_persistent_template_32;Import Persistent Template 32;;Импортировать Постоянный шаблон 32;;;;;;;
gui/hud/building_templates/import_persistent_template_33;Import Persistent Template 33;;Импортировать Постоянный шаблон 33;;;;;;;
gui/hud/building_templates/import_persistent_template_34;Import Persistent Template 34;;Импортировать Постоянный шаблон 34;;;;;;;
gui/hud/building_templates/import_persistent_template_35;Import Persistent Template 35;;Импортировать Постоянный шаблон 35;;;;;;;
